date,direction,service_type,time,primary_flight_number,primary_airline,codeshare_flight_numbers,codeshare_airlines,codeshare_count,origin,destination,status
2026-08-30,arrival,passenger,22:00,CX 724,CPA,AC 9791 / MH 9202 / QR 5810,ACA / MAS / QTR,3,KUL,HKG,At gate 00:25 (31/08/2026)
2026-08-30,arrival,passenger,23:35,UO 273,HKE,CX 5273,CPA,1,CZX,HKG,At gate 00:22 (31/08/2026)
2026-08-30,arrival,passenger,23:40,CX 989,CPA,,,0,CAN,HKG,At gate 00:11 (31/08/2026)
2026-08-30,arrival,passenger,23:40,UO 703,HKE,,,0,BKK,HKG,At gate 01:02 (31/08/2026)
2026-08-30,arrival,passenger,23:45,HX 453,CRK,HU 8161,CHH,1,CTU,HKG,At gate 01:11 (31/08/2026)
2026-08-31,arrival,passenger,00:00,UO 671,HKE,CX 5671,CPA,1,NGO,HKG,At gate 23:37 (30/08/2026)
2026-08-31,arrival,passenger,00:00,UO 795,HKE,,,0,HKT,HKG,At gate 00:14
2026-08-31,arrival,passenger,00:05,HX 547,CRK,EY 6824,ETD,1,DAD,HKG,At gate 23:37 (30/08/2026)
2026-08-31,arrival,passenger,00:05,CX 782,CPA,AA 8917,AAL,1,DPS,HKG,At gate 00:03
2026-08-31,arrival,passenger,00:10,CX 636,CPA,GF 4062 / AY 5852 / OM 5614 / FJ 5463,GFA / FIN / MGL / FJI,4,SIN,HKG,At gate 00:04
2026-08-31,arrival,passenger,00:15,BX 3935,ABL,,,0,ICN,HKG,At gate 00:19
2026-08-31,arrival,passenger,00:15,TW 639,TWB,,,0,PUS,HKG,At gate 00:06
2026-08-31,arrival,passenger,00:25,CX 469,CPA,,,0,TPE,HKG,At gate 23:46 (30/08/2026)
2026-08-31,arrival,passenger,00:35,HX 337,CRK,HU 8189,CHH,1,PEK,HKG,At gate 00:23
2026-08-31,arrival,passenger,00:35,UO 651,HKE,CX 5651,CPA,1,NRT,HKG,At gate 00:11
2026-08-31,arrival,passenger,00:40,UO 863,HKE,CX 5863,CPA,1,KIX,HKG,At gate 00:23
2026-08-31,arrival,passenger,00:50,5J 242,CEB,,,0,ILO,HKG,At gate 00:39
2026-08-31,arrival,passenger,00:55,HX 631,CRK,TK 8869,THY,1,NRT,HKG,At gate 00:30
2026-08-31,arrival,passenger,01:10,UO 627,HKE,,,0,ICN,HKG,At gate 00:46
2026-08-31,arrival,passenger,01:15,CX 327,CPA,,,0,SHA,HKG,At gate 00:46
2026-08-31,arrival,passenger,01:30,UO 653,HKE,,,0,NRT,HKG,At gate 01:03
2026-08-31,arrival,passenger,01:45,HB 707,HGB,,,0,TPE,HKG,At gate 01:43
2026-08-31,arrival,passenger,01:55,HB 2296,HGB,,,0,BKK,HKG,At gate 02:28
2026-08-31,arrival,passenger,01:55,CX 501,CPA,AA 8927 / FJ 5473 / QR 3458 / JL 7043,AAL / FJI / QTR / JAL,4,NRT,HKG,At gate 01:43
2026-08-31,arrival,passenger,04:05,CX 875,CPA,,,0,DFW,HKG,At gate 04:25
2026-08-31,arrival,passenger,04:25,UO 791,HKE,CX 5791,CPA,1,BKI,HKG,At gate 04:22
2026-08-31,arrival,passenger,04:30,UO 733,HKE,,,0,BKK,HKG,At gate 03:50
2026-08-31,arrival,passenger,04:40,UO 623,HKE,CX 5623,CPA,1,HND,HKG,At gate 04:14
2026-08-31,arrival,passenger,04:45,CX 427,CPA,QF 8219 / AA 8892,QFA / AAL,2,ICN,HKG,At gate 04:16
2026-08-31,arrival,passenger,04:45,HB 711,HGB,,,0,TPE,HKG,At gate 04:44
2026-08-31,arrival,passenger,04:55,UO 769,HKE,CX 5769,CPA,1,PEN,HKG,At gate 04:55
2026-08-31,arrival,passenger,05:00,CX 811,CPA,OM 5811,MGL,1,BOS,HKG,At gate 05:00
2026-08-31,arrival,passenger,05:00,CX 829,CPA,,,0,YYZ,HKG,At gate 05:04
2026-08-31,arrival,passenger,05:00,UA 877,UAL,,,0,SFO,HKG,At gate 04:31
2026-08-31,arrival,passenger,05:05,DL 089,DAL,,,0,LAX,HKG,At gate 05:48
2026-08-31,arrival,passenger,05:10,CX 138,CPA,BA 4134 / AY 5112 / OM 5602,BAW / FIN / MGL,3,SYD,HKG,At gate 05:14
2026-08-31,arrival,passenger,05:15,NH 813,ANA,,,0,HND,HKG,At gate 05:03
2026-08-31,arrival,passenger,05:25,UO 615,HKE,CX 5615,CPA,1,ICN,HKG,At gate 04:53
2026-08-31,arrival,passenger,05:30,CX 843,CPA,OM 5843 / MH 9211,MGL / MAS,2,JFK,HKG,At gate 05:25
2026-08-31,arrival,passenger,05:35,CX 865,CPA,,,0,YVR,HKG,At gate 05:38
2026-08-31,arrival,passenger,05:35,HB 511,HGB,,,0,MLE,HKG,At gate 05:36
2026-08-31,arrival,passenger,05:40,UA 820,UAL,,,0,LAX,HKG,At gate 05:13
2026-08-31,arrival,passenger,05:45,GA 860,GIA,HX 1960,CRK,1,CGK,HKG,At gate 06:24
2026-08-31,arrival,passenger,05:45,HX 627,CRK,OZ 9295,AAR,1,ICN,HKG,At gate 05:26
2026-08-31,arrival,passenger,05:45,CX 883,CPA,MH 9193 / LA 5648 / OM 5883 / AA 8936,MAS / LAN / MGL / AAL,4,LAX,HKG,At gate 05:25
2026-08-31,arrival,passenger,05:50,CX 714,CPA,QR 3455 / AY 5856 / OM 5732 / AA 8902,QTR / FIN / MGL / AAL,4,SIN,HKG,At gate 06:47
2026-08-31,arrival,passenger,05:55,HX 760,CRK,TK 8863,THY,1,BKK,HKG,At gate 06:08
2026-08-31,arrival,passenger,06:00,CX 640,CPA,,,0,KTM,HKG,At gate 06:08
2026-08-31,arrival,passenger,06:00,UO 629,HKE,CX 5629,CPA,1,HND,HKG,At gate 05:35
2026-08-31,arrival,passenger,06:05,CX 798,CPA,BA 4148 / AA 8918,BAW / AAL,2,CGK,HKG,At gate 06:29
2026-08-31,arrival,passenger,06:10,CX 270,CPA,,,0,AMS,HKG,At gate 06:12
2026-08-31,arrival,passenger,06:10,UO 235,HKE,CX 5235,CPA,1,PKX,HKG,At gate 05:38
2026-08-31,arrival,passenger,06:15,CX 234,CPA,,,0,MXP,HKG,At gate 06:21
2026-08-31,arrival,passenger,06:15,CX 260,CPA,,,0,CDG,HKG,At gate 06:09
2026-08-31,arrival,passenger,06:15,CX 873,CPA,MH 9183 / OM 5873 / AA 8931,MAS / MGL / AAL,3,SFO,HKG,At gate 05:49
2026-08-31,arrival,passenger,06:15,AI 314,AIC,,,0,DEL,HKG,At gate 06:28
2026-08-31,arrival,passenger,06:20,HX 073,CRK,,,0,SPN,HKG,At gate 06:11
2026-08-31,arrival,passenger,06:25,CX 953,CPA,,,0,CAN,HKG,At gate 05:53
2026-08-31,arrival,passenger,06:30,CX 748,CPA,LA 6093 / JL 7900,LAN / JAL,2,JNB,HKG,At gate 06:02
2026-08-31,arrival,passenger,06:35,CX 216,CPA,,,0,MAN,HKG,At gate 06:09
2026-08-31,arrival,passenger,06:40,CX 698,CPA,,,0,DEL,HKG,At gate 06:45
2026-08-31,arrival,passenger,06:45,CX 881,CPA,MH 9191 / LA 5646 / OM 5881 / AA 8934,MAS / LAN / MGL / AAL,4,LAX,HKG,At gate 06:17
2026-08-31,arrival,passenger,06:50,CX 156,CPA,JL 7906 / AY 5850 / OM 5632 / BA 4146,JAL / FIN / MGL / BAW,4,BNE,HKG,At gate 07:06
2026-08-31,arrival,passenger,06:55,HX 081,CRK,,,0,YVR,HKG,At gate 06:30
2026-08-31,arrival,passenger,06:55,CX 178,CPA,AY 5844 / OM 5612 / BA 4140,FIN / MGL / BAW,3,MEL,HKG,At gate 06:43
2026-08-31,arrival,passenger,06:55,CX 372,CPA,,,0,MAD,HKG,At gate 07:05
2026-08-31,arrival,passenger,06:55,CX 382,CPA,,,0,ZRH,HKG,At gate 06:53
2026-08-31,arrival,passenger,06:55,CX 395,CPA,CA 6515,CCA,1,PEK,HKG,At gate 06:43
2026-08-31,arrival,passenger,07:00,CX 318,CPA,,,0,BCN,HKG,At gate 07:23
2026-08-31,arrival,passenger,07:00,CX 732,CPA,MH 9206,MAS,1,KUL,HKG,At gate 06:57
2026-08-31,arrival,passenger,07:20,CX 288,CPA,LH 7014,DLH,1,FRA,HKG,At gate 07:34
2026-08-31,arrival,passenger,07:25,TK 170,THY,HX 3680 / NZ 4852,CRK / ANZ,2,IST,HKG,At gate 07:17
2026-08-31,arrival,passenger,07:35,CX 2216,CPA,,,0,MAN,HKG,At gate 07:30
2026-08-31,arrival,passenger,07:50,CX 252,CPA,,,0,LHR,HKG,At gate 07:23
2026-08-31,arrival,passenger,07:50,CX 974,CPA,,,0,MNL,HKG,At gate 07:54
2026-08-31,arrival,passenger,08:05,CX 170,CPA,QF 8237 / AY 5846 / OM 5622 / JL 7904 / BA 4144,QFA / FIN / MGL / JAL / BAW,5,PER,HKG,At gate 07:54
2026-08-31,arrival,passenger,08:10,5J 272,CEB,,,0,MNL,HKG,At gate 08:15
2026-08-31,arrival,passenger,08:45,MU 7365,CES,,,0,PVG,HKG,At gate 09:01
2026-08-31,arrival,passenger,08:50,BR 891,EVA,HX 1819,CRK,1,TPE,HKG,At gate 08:50
2026-08-31,arrival,passenger,09:00,EY 870,ETD,HX 3600,CRK,1,AUH,HKG,At gate 09:52
2026-08-31,arrival,passenger,09:05,CX 449,CPA,,,0,KHH,HKG,At gate 08:48
2026-08-31,arrival,passenger,09:10,CX 612,CPA,AY 5116 / QF 8216 / AA 8952,FIN / QFA / AAL,3,CMB,HKG,At gate 09:10
2026-08-31,arrival,passenger,09:10,CX 632,CPA,JL 7914 / AA 8946,JAL / AAL,2,MAA,HKG,At gate 09:16
2026-08-31,arrival,passenger,09:10,AE 983,MDA,CI 9501,CAL,1,KHH,HKG,At gate 09:02
2026-08-31,arrival,passenger,09:15,CI 601,CAL,,,0,TPE,HKG,At gate 09:29
2026-08-31,arrival,passenger,09:15,5J 150,CEB,,,0,CRK,HKG,At gate 08:54
2026-08-31,arrival,passenger,09:20,CX 694,CPA,OM 5751 / JL 7908 / AA 8944,MGL / JAL / AAL,3,DEL,HKG,At gate 09:48
2026-08-31,arrival,passenger,09:30,UO 617,HKE,CX 5617,CPA,1,ICN,HKG,At gate 09:29
2026-08-31,arrival,passenger,09:40,UO 699,HKE,CX 5699,CPA,1,CJU,HKG,At gate 09:35
2026-08-31,arrival,passenger,09:50,CX 624,CPA,,,0,BLR,HKG,At gate 09:50
2026-08-31,arrival,passenger,09:55,JX 233,SJX,,,0,TPE,HKG,At gate 10:27
2026-08-31,arrival,passenger,10:00,CX 407,CPA,,,0,TPE,HKG,Cancelled
2026-08-31,arrival,passenger,10:00,UO 673,HKE,CX 5673,CPA,1,TAE,HKG,At gate 09:58
2026-08-31,arrival,passenger,10:05,BR 851,EVA,HX 1821,CRK,1,TPE,HKG,At gate 10:34
2026-08-31,arrival,passenger,10:05,CI 903,CAL,,,0,TPE,HKG,At gate 09:58
2026-08-31,arrival,passenger,10:05,PR 300,PAL,,,0,MNL,HKG,At gate 09:53
2026-08-31,arrival,passenger,10:10,CX 303,CPA,,,0,PVG,HKG,At gate 09:55
2026-08-31,arrival,passenger,10:10,CX 660,CPA,OM 5624 / JL 7912 / AA 8945,MGL / JAL / AAL,3,BOM,HKG,At gate 11:27
2026-08-31,arrival,passenger,10:10,CX 933,CPA,,,0,XIY,HKG,At gate 10:06
2026-08-31,arrival,passenger,10:15,UO 625,HKE,CX 5625,CPA,1,HND,HKG,At gate 09:44
2026-08-31,arrival,passenger,10:20,HX 231,CRK,HU 8510,CHH,1,PVG,HKG,At gate 10:20
2026-08-31,arrival,passenger,10:20,UO 607,HKE,CX 5607,CPA,1,PUS,HKG,At gate 10:32
2026-08-31,arrival,passenger,10:25,MU 9623,CES,MF 9035,CXA,1,KMG,HKG,At gate 10:13
2026-08-31,arrival,passenger,10:30,CX 912,CPA,,,0,MNL,HKG,At gate 10:15
2026-08-31,arrival,passenger,10:30,MU 765,CES,FM 3033,CSH,1,NKG,HKG,At gate 10:22
2026-08-31,arrival,passenger,10:35,SU 212,AFL,,,0,SVO,HKG,At gate 10:49
2026-08-31,arrival,passenger,10:40,CX 965,CPA,CA 6565,CCA,1,HGH,HKG,At gate 10:21
2026-08-31,arrival,passenger,10:40,UA 153,UAL,,,0,SGN,HKG,At gate 10:36
2026-08-31,arrival,passenger,10:45,CX 305,CPA,,,0,NKG,HKG,At gate 10:34
2026-08-31,arrival,passenger,10:50,CX 413,CPA,QF 8228 / QR 3488 / AA 8896,QFA / QTR / AAL,3,ICN,HKG,At gate 11:09
2026-08-31,arrival,passenger,10:55,BR 845,EVA,HX 1845,CRK,1,KHH,HKG,At gate 10:38
2026-08-31,arrival,passenger,10:55,HX 129,CRK,HU 8517,CHH,1,HGH,HKG,At gate 11:04
