tweet_id,created_at,date,hour,weekday,account_name,client_clean,hashtags,text_clean,favorite_count,retweet_count,view_count,sentiment,sentiment_score,sentiment_negative,sentiment_neutral,sentiment_positive
2061451007171936434,2026-06-01 19:43:14,2026-06-01,19,Monday,RisingStarCorps,Twitter for Android,"#IndianArmy,#AEC","#IndianArmy GOC Rising Star Corps and All Ranks convey best wishes to All Ranks, Veterans & Families of Army Educational Corps #AEC on the occasion of their Corps Day. @westerncomd_IA @adgpi https://t.co/ApLLntpVp8",51,5,1536,Positive,0.9340322131756693,0.002807307755574584,0.06035318970680237,0.9368395209312439
2059934962347102649,2026-05-28 15:19:01,2026-05-28,15,Thursday,RisingStarCorps,Twitter for Android,"#IndianArmy,#StrongAndCapable,#RisingStarCorps,#Pathankot,#Kathua","#IndianArmy #StrongAndCapable GOC #RisingStarCorps reviewed the operational preparedness of troops deployed in #Pathankot and #Kathua, appreciating their high standards of readiness, seamless integration and exemplary professionalism. @adgpi @WesternComd_IA @PRODefenceJammu https://t.co/v3DRriIGsE",186,20,4146,Positive,0.8333786185830832,0.012153202667832375,0.14231498539447784,0.8455318212509155
2059522062465798343,2026-05-27 11:58:18,2026-05-27,11,Wednesday,RisingStarCorps,Twitter for Android,"#IndianArmy,#NationBuilding,#TigerDivision,#Jammu","#IndianArmy #NationBuilding #TigerDivision trained 186 aspiring Agniveers from RS Pura #Jammu, for upcoming recruitment rallies through focused physical training and mentorship. Empowering youth with discipline, confidence and patriotism to serve the nation with pride. @adgpi @WesternComd_IA",285,113,3278,Neutral,0.4071006588637829,0.009436298161745071,0.5740267634391785,0.41653695702552795
2059249021164945681,2026-05-26 17:53:20,2026-05-26,17,Tuesday,RisingStarCorps,Twitter for Android,"#IndianArmy,#StrongAndCapable,#Synergy,#TigerDivision,#Jammu","#IndianArmy #StrongAndCapable #Synergy One Grid, One Resolve! #TigerDivision organised a Joint Security Conference at Miran Sahib, #Jammu, strengthening inter-agency coordination and preparedness, reaffirming commitment to seamless synergy, rapid response and collective action for peace and stability. @adgpi @WesternComd_IA @JmuKmrPolice @bsf_jammu",237,25,5985,Positive,0.6167932851240039,0.011103739030659199,0.3609992265701294,0.6278970241546631
2058015835416146263,2026-05-23 08:13:05,2026-05-23,8,Saturday,RisingStarCorps,Twitter for Android,"#IndianArmy,#NationBuilding,#TigerDivision,#Samba","#IndianArmy #NationBuilding #TigerDivision organised a Medical Camp in border villages of #Samba, ensuring accessible healthcare and reaffirming its commitment to the welfare of local communities. @adgpi @WesternComd_IA https://t.co/Dk7HawGF3S",115,15,3450,Positive,0.5377915138378739,0.00816193874925375,0.4458846151828766,0.5459534525871277
2056349304147894279,2026-05-18 17:50:53,2026-05-18,17,Monday,RisingStarCorps,Twitter for Android,#HeroSalutesHeroes,"Rising Star Enablers handed over custom-modified scooters to Divyangjan ESMs. Honouring service, enhancing accessibility and empowering lives #HeroSalutesHeroes @adgpi @WesternComd_IA https://t.co/CW6OkPX7JY",162,8,5069,Positive,0.8039650055579841,0.004136231262236834,0.1877625733613968,0.808101236820221
2055852181711147504,2026-05-17 08:55:30,2026-05-17,8,Sunday,RisingStarCorps,Twitter for Android,"#IndianArmy,#NationBuilding,#YouthEmpowerment,#TigerDivision,#Veterans,#BorderVillages,#Jammu","#IndianArmy #NationBuilding #YouthEmpowerment #TigerDivision, in coordination with #Veterans, organised a Marathon in the #BorderVillages of Makwal, #Jammu, with enthusiastic participation of 271 students across 10 km, 5 km & 3 km categories. The event aimed to inspire youth towards fitness, discipline & resilience. @adgpi @WesternComd_IA",149,14,4047,Positive,0.599357265047729,0.0078058065846562386,0.385031133890152,0.6071630716323853
2054916260237074718,2026-05-14 18:56:29,2026-05-14,18,Thursday,RisingStarCorps,Twitter for Android,"#IndianArmy,#NationBuilding,#TigerDivision,#Jammu","#IndianArmy #NationBuilding #TigerDivision in collaboration with Ex-Servicemen organised an Inter Panchayat Volleyball Tournament for border villages in Pargwal of #Jammu region aimed at nurturing sports culture, honing skills, fostering sportsmanship & teamwork @adgpi @WesternComd_IA",331,36,5391,Neutral,0.2573460564017296,0.011697806417942047,0.7192583680152893,0.26904386281967163
2053340828324528575,2026-05-10 10:36:17,2026-05-10,10,Sunday,RisingStarCorps,Twitter for Android,"#IndianArmy,#Jammu,#Pathankot","#IndianArmy Karuna, Seva, Samarpan - from silence to hope! Asha Schools at #Jammu & #Pathankot are transforming lives by providing specially-abled children with quality education, therapy, vocational training & holistic care, empowering them to live with confidence and dignity. @adgpi @WesternComd_IA",541,50,51325,Positive,0.845743051264435,0.006664821412414312,0.14092734456062317,0.8524078726768494
2052730146222977148,2026-05-08 18:09:39,2026-05-08,18,Friday,RisingStarCorps,Twitter for Android,"#IndianArmy,#NationBuilding,#TigerDivision,#Jammu","#IndianArmy #NationBuilding #TigerDivision organized a training camp for Village Defence Guards in border villages of #Jammu to enhance vigilance, strengthen border security architecture and foster seamless integration with security forces @WesternComd_IA @adgpi @prodefencejammu",231,22,6246,Neutral,0.16608309745788574,0.017826318740844727,0.7982642650604248,0.18390941619873047
2051215125529669843,2026-05-04 13:49:30,2026-05-04,13,Monday,RisingStarCorps,Twitter for Android,"#IndianArmy,#StrongAndCapable,#TigerGunners","#IndianArmy #StrongAndCapable Rising Star Corps congratulates Gunner Lokender Thakur of #TigerGunners on winning a Bronze Medal in Fencing at the Bangkok Open 2026, held in Bangkok, Thailand. He was also part of the Indian Team that clinched a Bronze Medal, bringing laurels to the Nation. @adgpi @WesternComd_IA",141,24,4188,Positive,0.8654918810352683,0.0035199979320168495,0.12746819853782654,0.8690118789672852
2050052491631587487,2026-05-01 08:49:36,2026-05-01,8,Friday,RisingStarCorps,Twitter for Android,#IndianArmy,"#IndianArmy GOC Rising Star Corps and All Ranks convey best wishes to All Ranks, Veterans & Families of the Armoured Corps, on the occasion of their Corps Day @westerncomd_IA @adgpi https://t.co/OXkivnFTJD",185,17,3453,Positive,0.9204695834778249,0.003935693297535181,0.07165905833244324,0.9244052767753601
